,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4044,-4.145336482856122e-13,-8.636118157387105e-13,0.25000000000086486,-4.145334496010957e-12,5.305204923230865e-07,0.2500000000008649,1.9999969980579495,-6.908880405371605e-11,2.471490638443613e-06,0.249999469479507
4045,-4.1453364288189084e-13,-8.636118041452432e-13,0.25000000000086486,-4.145334455892646e-12,5.267823246667576e-07,0.2500000000008649,1.999997019210908,-6.908880411946788e-11,2.4540758476736988e-06,0.24999947321767466
4046,-4.1453363751566274e-13,-8.636117926319773e-13,0.25000000000086486,-4.145334416057376e-12,5.230704934328766e-07,0.2500000000008649,1.9999970402148373,-6.908880418475571e-11,2.4367837494518323e-06,0.2499994769295059
4047,-4.145336321867581e-13,-8.636117811983354e-13,0.25000000000086486,-4.145334376496856e-12,5.193848130427343e-07,0.2500000000008649,1.999997061070788,-6.908880424958735e-11,2.419613479221597e-06,0.2499994806151863
4048,-4.1453362689503264e-13,-8.636117698437705e-13,0.25000000000086486,-4.14533433720117e-12,5.157250992154376e-07,0.2500000000008649,1.9999970817798025,-6.908880431397201e-11,2.40256417847283e-06,0.2499994842749001
4049,-4.1453362164036916e-13,-8.636117585677687e-13,0.25000000000086486,-4.145334298158659e-12,5.120911689574525e-07,0.2500000000008649,1.9999971023429166,-6.908880437792047e-11,2.385634994692901e-06,0.24999948790883036
4050,-4.1453361642253567e-13,-8.636117473698398e-13,0.25000000000086486,-4.145334259369218e-12,5.084828406361655e-07,0.2500000000008649,1.9999971227611577,-6.908880444143428e-11,2.3688250817093197e-06,0.24999949151715867
4051,-4.145336112402868e-13,-8.636117362494571e-13,0.25000000000086486,-4.1453342209285085e-12,5.048999344979363e-07,0.2500000000008649,1.9999971430355434,-6.908880450443831e-11,2.352133602102611e-06,0.2499994951000648
4052,-4.1453360609422495e-13,-8.636117252062601e-13,0.25000000000086486,-4.145334182759862e-12,5.013422709781764e-07,0.2500000000008649,1.9999971631670899,-6.908880456699591e-11,2.3355597193352953e-06,0.24999949865772833
4053,-4.1453360098419247e-13,-8.636117142398726e-13,0.25000000000086486,-4.14533414485867e-12,4.978096722231997e-07,0.2500000000008649,1.999997183156803,-6.908880462911276e-11,2.319102604840069e-06,0.2499995021903271
4054,-4.145335959100456e-13,-8.636117033499595e-13,0.25000000000086486,-4.145334107219859e-12,4.943019616259555e-07,0.2500000000008649,1.9999972030056827,-6.908880469079507e-11,2.3027614358574178e-06,0.2499995056980377
4055,-4.1453359087165497e-13,-8.636116925362281e-13,0.25000000000086486,-4.145334069837871e-12,4.908189638161753e-07,0.2500000000008649,1.999997222714721,-6.908880475204966e-11,2.286535395389702e-06,0.2499995091810355
4056,-4.145335858689057e-13,-8.636116817984304e-13,0.25000000000086486,-4.145334032706643e-12,4.873605046504927e-07,0.2500000000008649,1.9999972422849033,-6.908880481288396e-11,2.2704236721551326e-06,0.24999951263949466
4057,-4.14533580901698e-13,-8.636116711363648e-13,0.25000000000086486,-4.1453339958195895e-12,4.839264112025899e-07,0.2500000000008649,1.9999972617172084,-6.908880487330602e-11,2.2544254605418593e-06,0.2499995160735881
4058,-4.145335759699472e-13,-8.636116605498778e-13,0.25000000000086486,-4.145333959169581e-12,4.805165117533289e-07,0.2500000000008649,1.9999972810126079,-6.908880493332465e-11,2.2385399605619885e-06,0.24999951948348756
4059,-4.145335710728678e-13,-8.636116500371539e-13,0.25000000000086486,-4.1453339228282505e-12,4.771306362344175e-07,0.2500000000008649,1.9999973001720641,-6.908880499286336e-11,2.2227663799195206e-06,0.24999952286936308
