,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
2719,-1.6439704600991096e-11,-3.866212979377781e-11,0.25000000003866163,-5.5365701927711824e-12,0.0016834187852344956,0.25000000000101347,0.9904182101665255,-4.015018303272304e-11,0.007898371088392335,0.24831658121476566
2720,-1.599916234019634e-11,-3.761808600027028e-11,0.2500000000376176,-5.675956574523813e-12,0.0016716957517405073,0.2500000000010465,0.9904853256133981,-4.146232354380733e-11,0.00784297867632595,0.24832830424825963
2721,-1.5571223696917518e-11,-3.6603912329166345e-11,0.25000000003660344,-5.811331812143705e-12,0.0016600534080126223,0.25000000000107864,0.990551973661061,-4.2736952613704145e-11,0.007787972973665535,0.24833994659198752
2722,-1.515552772568815e-11,-3.561875333760875e-11,0.25000000003561823,-5.942811231435753e-12,0.0016484912117894985,0.2500000000011098,0.9906181575269151,-4.3975143956597595e-11,0.007733351305272825,0.24835150878821066
2723,-1.4751724222415455e-11,-3.466177904026516e-11,0.2500000000346613,-6.070506711373321e-12,0.0016370086242750766,0.2500000000011401,0.9906838804067026,-4.517793935215046e-11,0.00767911101420246,0.24836299137572507
2724,-1.435947308436812e-11,-3.3732183392465964e-11,0.2500000000337317,-6.194526890743422e-12,0.001625605110116579,0.2500000000011695,0.990749145474673,-4.634635054665403e-11,0.007625249461559035,0.24837439488988358
2725,-1.397844347153872e-11,-3.2829182302790385e-11,0.2500000000328287,-6.314977438905965e-12,0.0016142801373808778,0.2500000000011981,0.9908139558837643,-4.748136174437515e-11,0.007571764026338355,0.2483857198626193
2726,-1.3608314380857734e-11,-3.195201499370413e-11,0.2500000000319515,-6.431960870009237e-12,0.0016030331775415733,0.2500000000012258,0.9908783147656699,-4.8583927902070004e-11,0.007518652105374671,0.24839696682245857
2727,-1.3248774100150585e-11,-3.109994270745636e-11,0.2500000000310994,-6.545576719278496e-12,0.0015918637054574802,0.2500000000012528,0.9909422252309966,-4.9654976351151555e-11,0.0074659111132030585,0.24840813629454267
2728,-1.2899519375980873e-11,-3.027224673384037e-11,0.25000000003027173,-6.6559218119420485e-12,0.0015807711993488128,0.2500000000012789,0.9910056903694499,-5.06954092696639e-11,0.007413538481898888,0.24841922880065134
